trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.9, 'e': 0.5049999999999996}",25,8,-5.983572259591696,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 0.5019999999999996}",30,15,-14.512558926484566,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.49899999999999956}",25,3,-41.57396447476441,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
168,False,"{'a': 0.9, 'e': 0.49599999999999955}",20,0,-19.967477989541457,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
169,False,"{'a': 0.9, 'e': 0.49299999999999955}",20,10,-49.86564441325762,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
170,False,"{'a': 0.9, 'e': 0.48999999999999955}",30,14,-65.6792522445215,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
171,False,"{'a': 0.9, 'e': 0.48699999999999954}",25,7,-23.114596633815538,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.48399999999999954}",20,0,-14.687922901457501,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
173,False,"{'a': 0.9, 'e': 0.48099999999999954}",20,0,2.78624216205395,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.9, 'e': 0.47799999999999954}",25,16,4.0308949739814475,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.9, 'e': 0.47499999999999953}",25,0,-139.79873563157287,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
176,False,"{'a': 0.9, 'e': 0.47199999999999953}",20,3,13.88852151406623,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.46899999999999953}",25,1,-38.90409313870474,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
178,False,"{'a': 0.9, 'e': 0.4659999999999995}",25,14,12.084562737459207,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.9, 'e': 0.4629999999999995}",25,0,-65.56434686070338,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
180,False,"{'a': 0.9, 'e': 0.4599999999999995}",30,6,-5.3456639521786595,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.9, 'e': 0.4569999999999995}",20,11,-0.6607182507474954,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.9, 'e': 0.4539999999999995}",20,14,0.04342171024565111,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.9, 'e': 0.4509999999999995}",25,0,-38.20894969623009,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
184,False,"{'a': 0.9, 'e': 0.4479999999999995}",25,0,14.10691360725939,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.9, 'e': 0.4449999999999995}",20,12,-12.149038565224128,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.9, 'e': 0.4419999999999995}",25,8,3.927230493364104,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
187,False,"{'a': 0.9, 'e': 0.4389999999999995}",35,15,-0.16157511047833895,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
188,False,"{'a': 0.9, 'e': 0.4359999999999995}",20,0,-47.60854897406247,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
189,False,"{'a': 0.9, 'e': 0.4329999999999995}",20,2,5.399016450768345,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.9, 'e': 0.4299999999999995}",35,0,-142.25656699911,"{0: 25, 1: 3, 2: 4, 3: 0, 4: 3}",0
191,False,"{'a': 0.9, 'e': 0.4269999999999995}",25,0,-96.22847647867833,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",1
192,False,"{'a': 0.9, 'e': 0.4239999999999995}",25,18,-28.670321716423658,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
193,False,"{'a': 0.9, 'e': 0.4209999999999995}",20,0,-71.70420300516909,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
194,False,"{'a': 0.9, 'e': 0.4179999999999995}",20,0,-50.34939728230248,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
195,False,"{'a': 0.9, 'e': 0.4149999999999995}",20,6,-44.74700870686722,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
196,False,"{'a': 0.9, 'e': 0.4119999999999995}",20,0,3.2500887647866055,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
197,False,"{'a': 0.9, 'e': 0.4089999999999995}",20,0,-15.834850800502457,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
198,False,"{'a': 0.9, 'e': 0.4059999999999995}",25,12,-4.014101272094257,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.9, 'e': 0.40299999999999947}",25,0,-59.78242899705882,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
200,False,"{'a': 0.9, 'e': 0.39999999999999947}",20,0,-28.97052289804272,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
201,False,"{'a': 0.9, 'e': 0.39699999999999946}",20,13,-9.826858423110743,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
202,False,"{'a': 0.9, 'e': 0.39399999999999946}",25,9,8.521357858377538,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.9, 'e': 0.39099999999999946}",20,6,7.160844681701504,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.9, 'e': 0.38799999999999946}",20,11,0.008362356039375518,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.9, 'e': 0.38499999999999945}",20,16,6.943039875310358,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.9, 'e': 0.38199999999999945}",20,11,15.672511842203281,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.9, 'e': 0.37899999999999945}",35,15,-52.8756882364459,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",1
208,False,"{'a': 0.9, 'e': 0.37599999999999945}",20,10,-6.044123076211324,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
209,False,"{'a': 0.9, 'e': 0.37299999999999944}",25,13,24.13655238298416,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.9, 'e': 0.36999999999999944}",25,18,-6.0654984071242355,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.9, 'e': 0.36699999999999944}",25,19,14.411362670082525,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.9, 'e': 0.36399999999999944}",20,0,18.95151445727869,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
213,False,"{'a': 0.9, 'e': 0.36099999999999943}",25,0,-20.43167828472881,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
214,False,"{'a': 0.9, 'e': 0.35799999999999943}",20,6,-23.017068582282487,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
215,False,"{'a': 0.9, 'e': 0.3549999999999994}",25,14,-57.0634269626643,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
216,False,"{'a': 0.9, 'e': 0.3519999999999994}",20,0,-48.685044502688406,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
217,False,"{'a': 0.9, 'e': 0.3489999999999994}",25,8,-15.074974504378858,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
218,False,"{'a': 0.9, 'e': 0.3459999999999994}",20,0,-0.4669943840973193,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
219,False,"{'a': 0.9, 'e': 0.3429999999999994}",20,0,10.411615885562478,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
220,False,"{'a': 0.9, 'e': 0.3399999999999994}",30,0,-39.020155627115265,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
221,False,"{'a': 0.9, 'e': 0.3369999999999994}",30,4,-49.519010974027644,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 2}",1
222,False,"{'a': 0.9, 'e': 0.3339999999999994}",25,0,-20.890580532567327,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
223,False,"{'a': 0.9, 'e': 0.3309999999999994}",20,0,-16.468898238489327,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
224,False,"{'a': 0.9, 'e': 0.3279999999999994}",35,17,-26.64582876091004,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
225,False,"{'a': 0.9, 'e': 0.3249999999999994}",25,1,18.783211170670597,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.9, 'e': 0.3219999999999994}",35,25,-41.85844953030676,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
227,False,"{'a': 0.9, 'e': 0.3189999999999994}",30,3,-63.7382487348238,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 1}",1
228,False,"{'a': 0.9, 'e': 0.3159999999999994}",20,0,-32.50096413093272,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
229,False,"{'a': 0.9, 'e': 0.3129999999999994}",30,0,-27.130001186891928,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
230,False,"{'a': 0.9, 'e': 0.3099999999999994}",20,2,-36.139993719742925,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
231,False,"{'a': 0.9, 'e': 0.3069999999999994}",35,11,-76.96225010697387,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 2}",1
232,False,"{'a': 0.9, 'e': 0.3039999999999994}",25,10,-36.350855949266965,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
233,False,"{'a': 0.9, 'e': 0.3009999999999994}",25,5,-13.111379267743708,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
234,False,"{'a': 0.9, 'e': 0.2979999999999994}",25,8,-39.26797690160299,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
235,False,"{'a': 0.9, 'e': 0.2949999999999994}",20,9,-1.2320215302764834,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.9, 'e': 0.29199999999999937}",20,9,-6.416424542259815,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
237,False,"{'a': 0.9, 'e': 0.28899999999999937}",20,0,-71.00847554601145,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
238,False,"{'a': 0.9, 'e': 0.28599999999999937}",25,0,10.600377711181554,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
239,False,"{'a': 0.9, 'e': 0.28299999999999936}",25,0,26.663467816384347,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
240,False,"{'a': 0.9, 'e': 0.27999999999999936}",25,8,5.524743562644256,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
241,False,"{'a': 0.9, 'e': 0.27699999999999936}",25,8,-7.33159794591311,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
242,False,"{'a': 0.9, 'e': 0.27399999999999936}",20,0,17.45674875128601,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
243,False,"{'a': 0.9, 'e': 0.27099999999999935}",20,12,-28.362301478519004,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
244,False,"{'a': 0.9, 'e': 0.26799999999999935}",25,13,13.08085527161005,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.9, 'e': 0.26499999999999935}",20,0,-18.688621626069335,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
246,False,"{'a': 0.9, 'e': 0.26199999999999934}",25,13,7.442868092975731,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.9, 'e': 0.25899999999999934}",20,13,12.523434818005441,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.9, 'e': 0.25599999999999934}",30,20,-5.476615951716352,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
249,False,"{'a': 0.9, 'e': 0.25299999999999934}",20,0,20.63212760479011,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
250,False,"{'a': 0.9, 'e': 0.24999999999999933}",20,0,10.791806591330706,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
251,False,"{'a': 0.9, 'e': 0.24699999999999933}",25,11,-4.862195575369414,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
252,False,"{'a': 0.9, 'e': 0.24399999999999933}",20,2,16.227375264603026,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.9, 'e': 0.24099999999999933}",30,18,-38.13829192898959,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
254,False,"{'a': 0.9, 'e': 0.23799999999999932}",20,11,16.321312885530652,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.9, 'e': 0.23499999999999932}",30,0,-3.3412340732512815,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
256,False,"{'a': 0.9, 'e': 0.23199999999999932}",25,10,-16.450944608663548,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
257,False,"{'a': 0.9, 'e': 0.22899999999999932}",30,17,24.659832712864592,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.9, 'e': 0.2259999999999993}",30,0,3.4130532032782526,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
259,False,"{'a': 0.9, 'e': 0.2229999999999993}",20,11,-29.339895466437216,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
260,False,"{'a': 0.9, 'e': 0.2199999999999993}",20,2,8.610716860224157,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.9, 'e': 0.2169999999999993}",30,0,27.061095127887224,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.9, 'e': 0.2139999999999993}",30,12,11.776578581378104,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.9, 'e': 0.2109999999999993}",30,1,29.833305481777604,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.9, 'e': 0.2079999999999993}",30,17,-7.491705304867679,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
265,False,"{'a': 0.9, 'e': 0.2049999999999993}",20,14,12.709767630867209,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.9, 'e': 0.2019999999999993}",20,3,17.46257178997984,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.9, 'e': 0.1989999999999993}",30,18,26.3559910895314,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.9, 'e': 0.19599999999999929}",25,7,16.27113343000104,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.9, 'e': 0.19299999999999928}",20,0,-8.962873480134666,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
270,False,"{'a': 0.9, 'e': 0.18999999999999928}",30,23,15.83059908631689,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.9, 'e': 0.18699999999999928}",20,13,11.521630716333881,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.9, 'e': 0.18399999999999928}",20,6,11.201118895027765,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
273,False,"{'a': 0.9, 'e': 0.18099999999999927}",20,6,-30.634793127960542,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
274,False,"{'a': 0.9, 'e': 0.17799999999999927}",20,14,11.100635768389818,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.9, 'e': 0.17499999999999927}",30,5,16.878536110109163,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
276,False,"{'a': 0.9, 'e': 0.17199999999999926}",30,20,15.887555271863357,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.9, 'e': 0.16899999999999926}",30,18,-23.721598661895193,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
278,False,"{'a': 0.9, 'e': 0.16599999999999926}",20,9,-2.922896472523507,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
279,False,"{'a': 0.9, 'e': 0.16299999999999926}",20,5,0.40287350396573673,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
280,False,"{'a': 0.9, 'e': 0.15999999999999925}",25,0,8.613214997242919,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
281,False,"{'a': 0.9, 'e': 0.15699999999999925}",20,12,-29.948747323985664,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
282,False,"{'a': 0.9, 'e': 0.15399999999999925}",20,6,6.679652427438008,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
283,False,"{'a': 0.9, 'e': 0.15099999999999925}",20,10,6.3101109555612585,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.9, 'e': 0.14799999999999924}",25,0,-3.4071720609018916,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
285,False,"{'a': 0.9, 'e': 0.14499999999999924}",20,0,31.226282748043456,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
286,False,"{'a': 0.9, 'e': 0.14199999999999924}",25,10,8.732355520237492,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
287,False,"{'a': 0.9, 'e': 0.13899999999999924}",20,6,-1.886808755632878,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
288,False,"{'a': 0.9, 'e': 0.13599999999999923}",25,9,16.447059077800514,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.9, 'e': 0.13299999999999923}",20,6,-0.6514750269356895,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
290,False,"{'a': 0.9, 'e': 0.12999999999999923}",25,7,23.895933615808076,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.9, 'e': 0.12699999999999922}",30,11,33.72354836408697,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.9, 'e': 0.12399999999999922}",20,0,27.965050582336808,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
293,False,"{'a': 0.9, 'e': 0.12099999999999922}",25,14,18.222332195124913,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.9, 'e': 0.11799999999999922}",20,0,18.289905007813715,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
295,False,"{'a': 0.9, 'e': 0.11499999999999921}",20,10,-15.305063595332474,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
296,False,"{'a': 0.9, 'e': 0.11199999999999921}",25,9,-18.32172116452054,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
297,False,"{'a': 0.9, 'e': 0.10899999999999921}",25,10,25.44534511170988,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.9, 'e': 0.1059999999999992}",25,8,32.32122188506293,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.9, 'e': 0.1029999999999992}",25,11,19.113131294720805,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.9, 'e': 0.0999999999999992}",20,3,28.95171761950017,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.9, 'e': 0.0969999999999992}",30,15,30.54703194110231,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.9, 'e': 0.0939999999999992}",20,8,15.99272928865237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.9, 'e': 0.09099999999999919}",20,8,16.461162252775882,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.9, 'e': 0.08799999999999919}",20,12,8.900796138629701,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.9, 'e': 0.08499999999999919}",25,9,21.575972653204396,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.9, 'e': 0.08199999999999918}",20,10,18.928878194147387,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.9, 'e': 0.07899999999999918}",20,15,8.752586238297484,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.9, 'e': 0.07599999999999918}",20,10,-25.263962380964312,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
309,False,"{'a': 0.9, 'e': 0.07299999999999918}",25,14,-21.397353120447875,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
310,False,"{'a': 0.9, 'e': 0.06999999999999917}",20,2,20.560399627267625,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.9, 'e': 0.06699999999999917}",30,8,23.322164899750387,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
312,False,"{'a': 0.9, 'e': 0.06399999999999917}",20,8,15.869009200068618,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.9, 'e': 0.060999999999999166}",30,0,53.95779274982674,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
314,False,"{'a': 0.9, 'e': 0.05799999999999916}",30,19,18.869444441386023,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.9, 'e': 0.05499999999999916}",20,7,10.62877049698776,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
316,False,"{'a': 0.9, 'e': 0.05199999999999916}",20,3,31.798350376128507,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.9, 'e': 0.048999999999999155}",25,14,21.723916243368787,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,21,23.814888585826843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,16,28.32323645120165,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,19.171014267384518,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,13,19.74880836167513,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,19.884151453903137,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,8,27.2833073984629,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,20,9.430333738249908,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,3,28.397499021531313,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,32.49099715305651,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,7,24.365835970858004,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
